2014-07-22 22:50:26 status half-installed base-passwd:arm64 3.5.33
2014-07-22 22:50:26 status half-installed base-passwd:arm64 3.5.33
2014-07-22 22:50:26 status unpacked base-passwd:arm64 3.5.33
2014-07-22 22:50:26 status unpacked base-passwd:arm64 3.5.33
2014-07-22 22:50:26 install bash:arm64 <none> 4.3-6ubuntu1
2014-07-22 22:50:26 status half-installed bash:arm64 4.3-6ubuntu1
2014-07-22 22:50:27 status unpacked bash:arm64 4.3-6ubuntu1
2014-07-22 22:50:27 status unpacked bash:arm64 4.3-6ubuntu1
2014-07-22 22:50:27 install bsdutils:arm64 <none> 1:2.20.1-5.1ubuntu20
2014-07-22 22:50:27 status half-installed bsdutils:arm64 1:2.20.1-5.1ubuntu20
2014-07-22 22:50:27 status unpacked bsdutils:arm64 1:2.20.1-5.1ubuntu20
2014-07-22 22:50:27 status unpacked bsdutils:arm64 1:2.20.1-5.1ubuntu20
2014-07-22 22:50:27 install busybox-initramfs:arm64 <none> 1:1.21.0-1ubuntu1
2014-07-22 22:50:27 status half-installed busybox-initramfs:arm64 1:1.21.0-1ubuntu1
2014-07-22 22:50:28 status unpacked busybox-initramfs:arm64 1:1.21.0-1ubuntu1
2014-07-22 22:50:28 status unpacked busybox-initramfs:arm64 1:1.21.0-1ubuntu1
2014-07-22 22:50:28 install coreutils:arm64 <none> 8.21-1ubuntu5
2014-07-22 22:50:28 status half-installed coreutils:arm64 8.21-1ubuntu5
2014-07-22 22:50:28 status unpacked coreutils:arm64 8.21-1ubuntu5
2014-07-22 22:50:28 status unpacked coreutils:arm64 8.21-1ubuntu5
2014-07-22 22:50:29 install cpio:arm64 <none> 2.11+dfsg-1ubuntu1
2014-07-22 22:50:29 status half-installed cpio:arm64 2.11+dfsg-1ubuntu1
2014-07-22 22:50:29 status unpacked cpio:arm64 2.11+dfsg-1ubuntu1
2014-07-22 22:50:29 status unpacked cpio:arm64 2.11+dfsg-1ubuntu1
2014-07-22 22:50:29 install dash:arm64 <none> 0.5.7-4ubuntu1
2014-07-22 22:50:29 status half-installed dash:arm64 0.5.7-4ubuntu1
2014-07-22 22:50:29 status unpacked dash:arm64 0.5.7-4ubuntu1
2014-07-22 22:50:29 status unpacked dash:arm64 0.5.7-4ubuntu1
2014-07-22 22:50:30 install debconf:all <none> 1.5.51ubuntu2
2014-07-22 22:50:30 status half-installed debconf:all 1.5.51ubuntu2
2014-07-22 22:50:30 status unpacked debconf:all 1.5.51ubuntu2
2014-07-22 22:50:30 status unpacked debconf:all 1.5.51ubuntu2
2014-07-22 22:50:30 install debianutils:arm64 <none> 4.4
2014-07-22 22:50:30 status half-installed debianutils:arm64 4.4
2014-07-22 22:50:30 status unpacked debianutils:arm64 4.4
2014-07-22 22:50:30 status unpacked debianutils:arm64 4.4
2014-07-22 22:50:31 install diffutils:arm64 <none> 1:3.3-1
2014-07-22 22:50:31 status half-installed diffutils:arm64 1:3.3-1
2014-07-22 22:50:31 status unpacked diffutils:arm64 1:3.3-1
2014-07-22 22:50:31 status unpacked diffutils:arm64 1:3.3-1
2014-07-22 22:50:31 upgrade dpkg:arm64 1.17.5ubuntu5 1.17.5ubuntu5
2014-07-22 22:50:31 status half-configured dpkg:arm64 1.17.5ubuntu5
2014-07-22 22:50:31 status unpacked dpkg:arm64 1.17.5ubuntu5
2014-07-22 22:50:31 status half-installed dpkg:arm64 1.17.5ubuntu5
2014-07-22 22:50:32 status half-installed dpkg:arm64 1.17.5ubuntu5
2014-07-22 22:50:32 status unpacked dpkg:arm64 1.17.5ubuntu5
2014-07-22 22:50:32 status unpacked dpkg:arm64 1.17.5ubuntu5
2014-07-22 22:50:32 install e2fslibs:arm64 <none> 1.42.9-3ubuntu1
2014-07-22 22:50:32 status half-installed e2fslibs:arm64 1.42.9-3ubuntu1
2014-07-22 22:50:32 status unpacked e2fslibs:arm64 1.42.9-3ubuntu1
2014-07-22 22:50:32 status unpacked e2fslibs:arm64 1.42.9-3ubuntu1
2014-07-22 22:50:33 install e2fsprogs:arm64 <none> 1.42.9-3ubuntu1
2014-07-22 22:50:33 status half-installed e2fsprogs:arm64 1.42.9-3ubuntu1
2014-07-22 22:50:33 status unpacked e2fsprogs:arm64 1.42.9-3ubuntu1
2014-07-22 22:50:33 status unpacked e2fsprogs:arm64 1.42.9-3ubuntu1
2014-07-22 22:50:33 install findutils:arm64 <none> 4.4.2-7
2014-07-22 22:50:33 status half-installed findutils:arm64 4.4.2-7
2014-07-22 22:50:33 status unpacked findutils:arm64 4.4.2-7
2014-07-22 22:50:34 status unpacked findutils:arm64 4.4.2-7
2014-07-22 22:50:34 install gcc-4.9-base:arm64 <none> 4.9-20140406-0ubuntu1
2014-07-22 22:50:34 status half-installed gcc-4.9-base:arm64 4.9-20140406-0ubuntu1
2014-07-22 22:50:34 status unpacked gcc-4.9-base:arm64 4.9-20140406-0ubuntu1
2014-07-22 22:50:34 status unpacked gcc-4.9-base:arm64 4.9-20140406-0ubuntu1
2014-07-22 22:50:34 install grep:arm64 <none> 2.16-1
2014-07-22 22:50:34 status half-installed grep:arm64 2.16-1
2014-07-22 22:50:34 status unpacked grep:arm64 2.16-1
2014-07-22 22:50:34 status unpacked grep:arm64 2.16-1
2014-07-22 22:50:34 install gzip:arm64 <none> 1.6-3ubuntu1
2014-07-22 22:50:34 status half-installed gzip:arm64 1.6-3ubuntu1
2014-07-22 22:50:35 status unpacked gzip:arm64 1.6-3ubuntu1
2014-07-22 22:50:35 status unpacked gzip:arm64 1.6-3ubuntu1
2014-07-22 22:50:35 install hostname:arm64 <none> 3.15ubuntu1
2014-07-22 22:50:35 status half-installed hostname:arm64 3.15ubuntu1
2014-07-22 22:50:35 status unpacked hostname:arm64 3.15ubuntu1
2014-07-22 22:50:35 status unpacked hostname:arm64 3.15ubuntu1
2014-07-22 22:50:35 install ifupdown:arm64 <none> 0.7.47.2ubuntu4
2014-07-22 22:50:35 status half-installed ifupdown:arm64 0.7.47.2ubuntu4
2014-07-22 22:50:36 status unpacked ifupdown:arm64 0.7.47.2ubuntu4
2014-07-22 22:50:36 status unpacked ifupdown:arm64 0.7.47.2ubuntu4
2014-07-22 22:50:36 install initramfs-tools:all <none> 0.103ubuntu4
2014-07-22 22:50:36 status half-installed initramfs-tools:all 0.103ubuntu4
2014-07-22 22:50:36 status unpacked initramfs-tools:all 0.103ubuntu4
2014-07-22 22:50:36 status unpacked initramfs-tools:all 0.103ubuntu4
2014-07-22 22:50:36 install initramfs-tools-bin:arm64 <none> 0.103ubuntu4
2014-07-22 22:50:36 status half-installed initramfs-tools-bin:arm64 0.103ubuntu4
2014-07-22 22:50:37 status unpacked initramfs-tools-bin:arm64 0.103ubuntu4
2014-07-22 22:50:37 status unpacked initramfs-tools-bin:arm64 0.103ubuntu4
2014-07-22 22:50:37 install initscripts:arm64 <none> 2.88dsf-41ubuntu6
2014-07-22 22:50:37 status half-installed initscripts:arm64 2.88dsf-41ubuntu6
2014-07-22 22:50:37 status unpacked initscripts:arm64 2.88dsf-41ubuntu6
2014-07-22 22:50:37 status unpacked initscripts:arm64 2.88dsf-41ubuntu6
2014-07-22 22:50:37 install insserv:arm64 <none> 1.14.0-5ubuntu2
2014-07-22 22:50:37 status half-installed insserv:arm64 1.14.0-5ubuntu2
2014-07-22 22:50:37 status unpacked insserv:arm64 1.14.0-5ubuntu2
2014-07-22 22:50:37 status unpacked insserv:arm64 1.14.0-5ubuntu2
2014-07-22 22:50:38 install iproute2:arm64 <none> 3.12.0-2
2014-07-22 22:50:38 status half-installed iproute2:arm64 3.12.0-2
2014-07-22 22:50:38 status unpacked iproute2:arm64 3.12.0-2
2014-07-22 22:50:38 status unpacked iproute2:arm64 3.12.0-2
2014-07-22 22:50:38 install klibc-utils:arm64 <none> 2.0.3-0ubuntu1
2014-07-22 22:50:38 status half-installed klibc-utils:arm64 2.0.3-0ubuntu1
2014-07-22 22:50:39 status unpacked klibc-utils:arm64 2.0.3-0ubuntu1
2014-07-22 22:50:39 status unpacked klibc-utils:arm64 2.0.3-0ubuntu1
2014-07-22 22:50:39 install kmod:arm64 <none> 15-0ubuntu6
2014-07-22 22:50:39 status half-installed kmod:arm64 15-0ubuntu6
2014-07-22 22:50:39 status unpacked kmod:arm64 15-0ubuntu6
2014-07-22 22:50:39 status unpacked kmod:arm64 15-0ubuntu6
2014-07-22 22:50:40 install libacl1:arm64 <none> 2.2.52-1
2014-07-22 22:50:40 status half-installed libacl1:arm64 2.2.52-1
2014-07-22 22:50:40 status unpacked libacl1:arm64 2.2.52-1
2014-07-22 22:50:40 status unpacked libacl1:arm64 2.2.52-1
2014-07-22 22:50:40 install libattr1:arm64 <none> 1:2.4.47-1ubuntu1
2014-07-22 22:50:40 status half-installed libattr1:arm64 1:2.4.47-1ubuntu1
2014-07-22 22:50:40 status unpacked libattr1:arm64 1:2.4.47-1ubuntu1
2014-07-22 22:50:40 status unpacked libattr1:arm64 1:2.4.47-1ubuntu1
2014-07-22 22:50:40 install libaudit-common:all <none> 1:2.3.2-2ubuntu1
2014-07-22 22:50:40 status half-installed libaudit-common:all 1:2.3.2-2ubuntu1
2014-07-22 22:50:40 status unpacked libaudit-common:all 1:2.3.2-2ubuntu1
2014-07-22 22:50:40 status unpacked libaudit-common:all 1:2.3.2-2ubuntu1
2014-07-22 22:50:41 install libaudit1:arm64 <none> 1:2.3.2-2ubuntu1
2014-07-22 22:50:41 status half-installed libaudit1:arm64 1:2.3.2-2ubuntu1
2014-07-22 22:50:41 status unpacked libaudit1:arm64 1:2.3.2-2ubuntu1
2014-07-22 22:50:41 status unpacked libaudit1:arm64 1:2.3.2-2ubuntu1
2014-07-22 22:50:41 install libblkid1:arm64 <none> 2.20.1-5.1ubuntu20
2014-07-22 22:50:41 status half-installed libblkid1:arm64 2.20.1-5.1ubuntu20
2014-07-22 22:50:41 status unpacked libblkid1:arm64 2.20.1-5.1ubuntu20
2014-07-22 22:50:41 status unpacked libblkid1:arm64 2.20.1-5.1ubuntu20
2014-07-22 22:50:42 install libbz2-1.0:arm64 <none> 1.0.6-5
2014-07-22 22:50:42 status half-installed libbz2-1.0:arm64 1.0.6-5
2014-07-22 22:50:42 status unpacked libbz2-1.0:arm64 1.0.6-5
2014-07-22 22:50:42 status unpacked libbz2-1.0:arm64 1.0.6-5
2014-07-22 22:50:42 install libc-bin:arm64 <none> 2.19-0ubuntu6
2014-07-22 22:50:42 status half-installed libc-bin:arm64 2.19-0ubuntu6
2014-07-22 22:50:42 status unpacked libc-bin:arm64 2.19-0ubuntu6
2014-07-22 22:50:43 status unpacked libc-bin:arm64 2.19-0ubuntu6
2014-07-22 22:50:43 upgrade libc6:arm64 2.19-0ubuntu6 2.19-0ubuntu6
2014-07-22 22:50:43 status half-configured libc6:arm64 2.19-0ubuntu6
2014-07-22 22:50:43 status unpacked libc6:arm64 2.19-0ubuntu6
2014-07-22 22:50:43 status half-installed libc6:arm64 2.19-0ubuntu6
2014-07-22 22:50:44 status half-installed libc6:arm64 2.19-0ubuntu6
2014-07-22 22:50:44 status unpacked libc6:arm64 2.19-0ubuntu6
2014-07-22 22:50:44 status unpacked libc6:arm64 2.19-0ubuntu6
2014-07-22 22:50:44 install libcap2:arm64 <none> 1:2.24-0ubuntu2
2014-07-22 22:50:44 status half-installed libcap2:arm64 1:2.24-0ubuntu2
